sex,age,incidence,remission
male,2,0,0
male,3,0,0
male,4,0,0
male,5,0,0
male,6,0,0
male,7,0,0
male,8,0,0
male,9,0,0
male,10,0,0
male,11,0,0
male,12,0,0
male,13,0,0
male,14,0,0
male,15,0,0.041435659354616
male,16,0,0.041435659354616
male,17,0,0.041435659354616
male,18,0,0.041435659354616
male,19,0,0.041435659354616
male,20,0.121447943269589,0.041435659354616
male,21,0,0.041435659354616
male,22,0,0.041435659354616
male,23,0,0.041435659354616
male,24,0,0.041435659354616
male,25,0,0.041435659354616
male,26,0,0.041435659354616
male,27,0,0.041435659354616
male,28,0,0.041435659354616
male,29,0,0.041435659354616
male,30,0,0.041435659354616
male,31,0,0.041435659354616
male,32,0,0.041435659354616
male,33,0,0.041435659354616
male,34,0,0.041435659354616
male,35,0,0.038425723372829
male,36,0,0.038425723372829
male,37,0,0.038425723372829
male,38,0,0.038425723372829
male,39,0,0.038425723372829
male,40,0,0.038425723372829
male,41,0,0.038425723372829
male,42,0,0.038425723372829
male,43,0,0.038425723372829
male,44,0,0.038425723372829
male,45,0,0.038425723372829
male,46,0,0.038425723372829
male,47,0,0.038425723372829
male,48,0,0.038425723372829
male,49,0,0.038425723372829
male,50,0,0.038425723372829
male,51,0,0.038425723372829
male,52,0,0.038425723372829
male,53,0,0.038425723372829
male,54,0,0.038425723372829
male,55,0,0.072238263465663
male,56,0,0.072238263465663
male,57,0,0.072238263465663
male,58,0,0.072238263465663
male,59,0,0.072238263465663
male,60,0,0.072238263465663
male,61,0,0.072238263465663
male,62,0,0.072238263465663
male,63,0,0.072238263465663
male,64,0,0.072238263465663
male,65,0,0.072238263465663
male,66,0,0.072238263465663
male,67,0,0.072238263465663
male,68,0,0.072238263465663
male,69,0,0.072238263465663
male,70,0,0.072238263465663
male,71,0,0.072238263465663
male,72,0,0.072238263465663
male,73,0,0.072238263465663
male,74,0,0.072238263465663
male,75,0,0.072238263465663
male,76,0,0.072238263465663
male,77,0,0.072238263465663
male,78,0,0.072238263465663
male,79,0,0.072238263465663
male,80,0,0.072238263465663
male,81,0,0.072238263465663
male,82,0,0.072238263465663
male,83,0,0.072238263465663
male,84,0,0.072238263465663
male,85,0,0.072238263465663
male,86,0,0.072238263465663
male,87,0,0.072238263465663
male,88,0,0.072238263465663
male,89,0,0.072238263465663
male,90,0,0.072238263465663
male,91,0,0.072238263465663
male,92,0,0.072238263465663
male,93,0,0.072238263465663
male,94,0,0.072238263465663
male,95,0,0.072238263465663
male,96,0,0.072238263465663
male,97,0,0.072238263465663
male,98,0,0.072238263465663
male,99,0,0.072238263465663
male,100,0,0.072238263465663
male,101,0,0.072238263465663
male,102,0,0.072238263465663
male,103,0,0.072238263465663
male,104,0,0.072238263465663
male,105,0,0.072238263465663
male,106,0,0.072238263465663
male,107,0,0.072238263465663
male,108,0,0.072238263465663
male,109,0,0.072238263465663
male,110,0,0.072238263465663
male,110,0,0.072238263465663
male,110,0,0.072238263465663
female,2,0,0
female,3,0,0
female,4,0,0
female,5,0,0
female,6,0,0
female,7,0,0
female,8,0,0
female,9,0,0
female,10,0,0
female,11,0,0
female,12,0,0
female,13,0,0
female,14,0,0
female,15,0,0.055435981447799
female,16,0,0.055435981447799
female,17,0,0.055435981447799
female,18,0,0.055435981447799
female,19,0,0.055435981447799
female,20,0.116185385206628,0.055435981447799
female,21,0,0.055435981447799
female,22,0,0.055435981447799
female,23,0,0.055435981447799
female,24,0,0.055435981447799
female,25,0,0.055435981447799
female,26,0,0.055435981447799
female,27,0,0.055435981447799
female,28,0,0.055435981447799
female,29,0,0.055435981447799
female,30,0,0.055435981447799
female,31,0,0.055435981447799
female,32,0,0.055435981447799
female,33,0,0.055435981447799
female,34,0,0.055435981447799
female,35,0,0.04307897716125
female,36,0,0.04307897716125
female,37,0,0.04307897716125
female,38,0,0.04307897716125
female,39,0,0.04307897716125
female,40,0,0.04307897716125
female,41,0,0.04307897716125
female,42,0,0.04307897716125
female,43,0,0.04307897716125
female,44,0,0.04307897716125
female,45,0,0.04307897716125
female,46,0,0.04307897716125
female,47,0,0.04307897716125
female,48,0,0.04307897716125
female,49,0,0.04307897716125
female,50,0,0.04307897716125
female,51,0,0.04307897716125
female,52,0,0.04307897716125
female,53,0,0.04307897716125
female,54,0,0.04307897716125
female,55,0,0.071395287778832
female,56,0,0.071395287778832
female,57,0,0.071395287778832
female,58,0,0.071395287778832
female,59,0,0.071395287778832
female,60,0,0.071395287778832
female,61,0,0.071395287778832
female,62,0,0.071395287778832
female,63,0,0.071395287778832
female,64,0,0.071395287778832
female,65,0,0.071395287778832
female,66,0,0.071395287778832
female,67,0,0.071395287778832
female,68,0,0.071395287778832
female,69,0,0.071395287778832
female,70,0,0.071395287778832
female,71,0,0.071395287778832
female,72,0,0.071395287778832
female,73,0,0.071395287778832
female,74,0,0.071395287778832
female,75,0,0.071395287778832
female,76,0,0.071395287778832
female,77,0,0.071395287778832
female,78,0,0.071395287778832
female,79,0,0.071395287778832
female,80,0,0.071395287778832
female,81,0,0.071395287778832
female,82,0,0.071395287778832
female,83,0,0.071395287778832
female,84,0,0.071395287778832
female,85,0,0.071395287778832
female,86,0,0.071395287778832
female,87,0,0.071395287778832
female,88,0,0.071395287778832
female,89,0,0.071395287778832
female,90,0,0.071395287778832
female,91,0,0.071395287778832
female,92,0,0.071395287778832
female,93,0,0.071395287778832
female,94,0,0.071395287778832
female,95,0,0.071395287778832
female,96,0,0.071395287778832
female,97,0,0.071395287778832
female,98,0,0.071395287778832
female,99,0,0.071395287778832
female,100,0,0.071395287778832
female,101,0,0.071395287778832
female,102,0,0.071395287778832
female,103,0,0.071395287778832
female,104,0,0.071395287778832
female,105,0,0.071395287778832
female,106,0,0.071395287778832
female,107,0,0.071395287778832
female,108,0,0.071395287778832
female,109,0,0.071395287778832
female,110,0,0.071395287778832
female,110,0,0.071395287778832
female,110,0,0.071395287778832
